filesystem,cloud,test-name,elapsed
elastic-san-same-zone,AZURE,"Write CSV, 100MB over 100 files",0.711
elastic-san-same-zone,AZURE,"Read CSV, 100MB over 100 files",1.559
elastic-san-same-zone,AZURE,"Write CSV, 100MB over 1000 files",0.768
elastic-san-same-zone,AZURE,"Read CSV, 100MB over 1000 files",8.784
elastic-san-same-zone,AZURE,"Write CSV, 100MB over 10000 files",1.886
elastic-san-same-zone,AZURE,"Read CSV, 100MB over 10000 files",33.022
elastic-san-same-zone,AZURE,"DD write, 10MB over 1000 files, 2 Parallel Ops",2.217
elastic-san-same-zone,AZURE,"DD write, 10MB over 1000 files, 4 Parallel Ops",2.948
elastic-san-same-zone,AZURE,"DD write, 10MB over 1000 files, 8 Parallel Ops",5.402
elastic-san-same-zone,AZURE,"DD write, 10MB over 1000 files, 16 Parallel Ops",11.913
elastic-san-same-zone,AZURE,"DD read, 10MB over 1000 files, 2 Parallel Ops",5.052
elastic-san-same-zone,AZURE,"DD read, 10MB over 1000 files, 4 Parallel Ops",4.695
elastic-san-same-zone,AZURE,"DD read, 10MB over 1000 files, 8 Parallel Ops",6.66
elastic-san-same-zone,AZURE,"DD read, 10MB over 1000 files, 16 Parallel Ops",6.781
elastic-san-same-zone,AZURE,"FST random reads, 100MB over 10*10MB reads",0.351
elastic-san-same-zone,AZURE,"FST random reads, 100MB over 100*1MB reads",1.099
elastic-san-same-zone,AZURE,"FST random reads, 100MB over 1000*100KB reads",1.887
elastic-san-same-zone,AZURE,"FST random reads, 100MB over 10000*10KB reads",5.709
elastic-san-same-zone,AZURE,Read 14 days of CRAN logs with fread,33.102
elastic-san-same-zone,AZURE,Sample 5000 rows from each of 14 CRAN logs with vroom,16.281
netapp-standard,AZURE,Install MASS,9.457
netapp-standard,AZURE,Install lattice,9.974
netapp-standard,AZURE,Install BH,48.9
netapp-standard,AZURE,"Write CSV, 10KB",0.005
netapp-standard,AZURE,"Write CSV, 1MB",0.01
netapp-standard,AZURE,"Write CSV, 100MB",2.939
netapp-standard,AZURE,"Write CSV, 1GB",34.477
netapp-standard,AZURE,"Read CSV, 10KB",0.006
netapp-standard,AZURE,"Read CSV, 1MB",0.011
netapp-standard,AZURE,"Read CSV, 100MB",3.024
netapp-standard,AZURE,"Read CSV, 1GB",33.478
netapp-standard,AZURE,"DD write, 1GB, 2 Parallel Ops",63.836
netapp-standard,AZURE,"DD write, 1GB, 4 Parallel Ops",127.779
netapp-standard,AZURE,"DD write, 1GB, 8 Parallel Ops",255.682
netapp-standard,AZURE,"DD write, 1GB, 16 Parallel Ops",511.472
netapp-standard,AZURE,"DD read, 1GB, 2 Parallel Ops",63.511
netapp-standard,AZURE,"DD read, 1GB, 4 Parallel Ops",127.896
netapp-standard,AZURE,"DD read, 1GB, 8 Parallel Ops",255.872
netapp-standard,AZURE,"DD read, 1GB, 16 Parallel Ops",511.878
netapp-standard,AZURE,"Write CSV, 100MB over 10 files",3.154
netapp-standard,AZURE,"Read CSV, 100MB over 10 files",3.205
netapp-standard,AZURE,"Write CSV, 100MB over 100 files",3.186
netapp-standard,AZURE,"Read CSV, 100MB over 100 files",3.199
netapp-standard,AZURE,"Write CSV, 100MB over 1000 files",3.122
netapp-standard,AZURE,"Read CSV, 100MB over 1000 files",3.299
netapp-standard,AZURE,"Write CSV, 100MB over 10000 files",14.473
netapp-standard,AZURE,"Read CSV, 100MB over 10000 files",23.611
netapp-standard,AZURE,"DD write, 10MB over 1000 files, 2 Parallel Ops",3.266
netapp-standard,AZURE,"DD write, 10MB over 1000 files, 4 Parallel Ops",3.668
netapp-standard,AZURE,"DD write, 10MB over 1000 files, 8 Parallel Ops",5.71
netapp-standard,AZURE,"DD write, 10MB over 1000 files, 16 Parallel Ops",11.237
netapp-standard,AZURE,"DD read, 10MB over 1000 files, 2 Parallel Ops",3.018
netapp-standard,AZURE,"DD read, 10MB over 1000 files, 4 Parallel Ops",3.375
netapp-standard,AZURE,"DD read, 10MB over 1000 files, 8 Parallel Ops",4.333
netapp-standard,AZURE,"DD read, 10MB over 1000 files, 16 Parallel Ops",7.091
netapp-standard,AZURE,"FST random reads, 100MB over 10*10MB reads",1.922
netapp-standard,AZURE,"FST random reads, 100MB over 100*1MB reads",2.263
netapp-standard,AZURE,"FST random reads, 100MB over 1000*100KB reads",3.107
netapp-standard,AZURE,"FST random reads, 100MB over 10000*10KB reads",8.398
netapp-standard,AZURE,Read 14 days of CRAN logs with fread,32.697
netapp-standard,AZURE,Sample 5000 rows from each of 14 CRAN logs with vroom,18.099
netapp-premium,AZURE,Install MASS,10.438
netapp-premium,AZURE,Install lattice,10.66
netapp-premium,AZURE,Install BH,60.617
netapp-premium,AZURE,"Write CSV, 10KB",0.007
netapp-premium,AZURE,"Write CSV, 1MB",0.012
netapp-premium,AZURE,"Write CSV, 100MB",0.482
netapp-premium,AZURE,"Write CSV, 1GB",9.318
netapp-premium,AZURE,"Read CSV, 10KB",0.008
netapp-premium,AZURE,"Read CSV, 1MB",0.019
netapp-premium,AZURE,"Read CSV, 100MB",0.587
netapp-premium,AZURE,"Read CSV, 1GB",8.27
netapp-premium,AZURE,"DD write, 1GB, 2 Parallel Ops",15.842
netapp-premium,AZURE,"DD write, 1GB, 4 Parallel Ops",31.799
netapp-premium,AZURE,"DD write, 1GB, 8 Parallel Ops",63.681
netapp-premium,AZURE,"DD write, 1GB, 16 Parallel Ops",127.495
netapp-premium,AZURE,"DD read, 1GB, 2 Parallel Ops",15.513
netapp-premium,AZURE,"DD read, 1GB, 4 Parallel Ops",31.911
netapp-premium,AZURE,"DD read, 1GB, 8 Parallel Ops",63.894
netapp-premium,AZURE,"DD read, 1GB, 16 Parallel Ops",127.887
netapp-premium,AZURE,"Write CSV, 100MB over 10 files",0.703
netapp-premium,AZURE,"Read CSV, 100MB over 10 files",0.885
netapp-premium,AZURE,"Write CSV, 100MB over 100 files",1.154
netapp-premium,AZURE,"Read CSV, 100MB over 100 files",1.047
netapp-premium,AZURE,"Write CSV, 100MB over 1000 files",2.73
