filesystem,cloud,test-name,elapsed
same-az-lustre,AWS,Read 14 days of CRAN logs with fread,62.342
same-az-lustre,AWS,Sample 5000 rows from each of 14 CRAN logs with vroom,43.302
efs-regional,AWS,Install MASS,24.8
efs-regional,AWS,Install lattice,20.839
efs-regional,AWS,Install BH,292.599
efs-regional,AWS,"Write CSV, 10KB",0.023
efs-regional,AWS,"Write CSV, 1MB",0.053
efs-regional,AWS,"Write CSV, 100MB",0.559
efs-regional,AWS,"Write CSV, 1GB",4.853
efs-regional,AWS,"Read CSV, 10KB",0.017
efs-regional,AWS,"Read CSV, 1MB",0.05
efs-regional,AWS,"Read CSV, 100MB",0.848
efs-regional,AWS,"Read CSV, 1GB",4.339
efs-regional,AWS,"DD write, 1GB, 2 Parallel Ops",8.22
efs-regional,AWS,"DD write, 1GB, 4 Parallel Ops",16.703
efs-regional,AWS,"DD write, 1GB, 8 Parallel Ops",33.314
efs-regional,AWS,"DD write, 1GB, 16 Parallel Ops",65.569
efs-regional,AWS,"DD read, 1GB, 2 Parallel Ops",10.917
efs-regional,AWS,"DD read, 1GB, 4 Parallel Ops",14.212
efs-regional,AWS,"DD read, 1GB, 8 Parallel Ops",25.749
efs-regional,AWS,"DD read, 1GB, 16 Parallel Ops",51.906
efs-regional,AWS,"Write CSV, 100MB over 10 files",1.588
efs-regional,AWS,"Read CSV, 100MB over 10 files",4.571
efs-regional,AWS,"Write CSV, 100MB over 100 files",4.77
efs-regional,AWS,"Read CSV, 100MB over 100 files",4.308
efs-regional,AWS,"Write CSV, 100MB over 1000 files",21.045
efs-regional,AWS,"Read CSV, 100MB over 1000 files",12.166
efs-regional,AWS,"Write CSV, 100MB over 10000 files",105.718
efs-regional,AWS,"Read CSV, 100MB over 10000 files",63.836
efs-regional,AWS,"DD write, 10MB over 1000 files, 2 Parallel Ops",12.228
efs-regional,AWS,"DD write, 10MB over 1000 files, 4 Parallel Ops",31.391
efs-regional,AWS,"DD write, 10MB over 1000 files, 8 Parallel Ops",62.538
efs-regional,AWS,"DD write, 10MB over 1000 files, 16 Parallel Ops",128.67
efs-regional,AWS,"DD read, 10MB over 1000 files, 2 Parallel Ops",6.434
efs-regional,AWS,"DD read, 10MB over 1000 files, 4 Parallel Ops",6.171
efs-regional,AWS,"DD read, 10MB over 1000 files, 8 Parallel Ops",7.088
efs-regional,AWS,"DD read, 10MB over 1000 files, 16 Parallel Ops",8.121
efs-regional,AWS,"FST random reads, 100MB over 10*10MB reads",1.426
efs-regional,AWS,"FST random reads, 100MB over 100*1MB reads",2.285
efs-regional,AWS,"FST random reads, 100MB over 1000*100KB reads",4.073
efs-regional,AWS,"FST random reads, 100MB over 10000*10KB reads",16.151
efs-regional,AWS,Read 14 days of CRAN logs with fread,43.813
efs-regional,AWS,Sample 5000 rows from each of 14 CRAN logs with vroom,20.814
efs-single-zone,AWS,Install MASS,20.089
efs-single-zone,AWS,Install lattice,17.539
efs-single-zone,AWS,Install BH,216.491
efs-single-zone,AWS,"Write CSV, 10KB",0.019
efs-single-zone,AWS,"Write CSV, 1MB",0.04
efs-single-zone,AWS,"Write CSV, 100MB",0.349
efs-single-zone,AWS,"Write CSV, 1GB",2.737
efs-single-zone,AWS,"Read CSV, 10KB",0.014
efs-single-zone,AWS,"Read CSV, 1MB",0.036
efs-single-zone,AWS,"Read CSV, 100MB",0.587
efs-single-zone,AWS,"Read CSV, 1GB",2.708
efs-single-zone,AWS,"DD write, 1GB, 2 Parallel Ops",4.197
efs-single-zone,AWS,"DD write, 1GB, 4 Parallel Ops",8.893
efs-single-zone,AWS,"DD write, 1GB, 8 Parallel Ops",16.712
efs-single-zone,AWS,"DD write, 1GB, 16 Parallel Ops",34.357
efs-single-zone,AWS,"DD read, 1GB, 2 Parallel Ops",8.291
efs-single-zone,AWS,"DD read, 1GB, 4 Parallel Ops",9.116
efs-single-zone,AWS,"DD read, 1GB, 8 Parallel Ops",15.479
