elastic-san-same-zone,1,task,user,system,elapsed,parallelism
elastic-san-same-zone,2,"DD read, 1GB",0.0400000000000009,6.334,26.251,16
elastic-san-same-zone,2,"Write CSV, 100MB over 10 files",0.898,0.0939999999999999,0.290999999999997,NA
elastic-san-same-zone,2,"Read CSV, 100MB over 10 files",0.270999999999999,0.0279999999999996,0.59899999999999,NA
elastic-san-same-zone,2,"Write CSV, 100MB over 100 files",0.65,0.0590000000000002,0.712000000000018,NA
elastic-san-same-zone,2,"Read CSV, 100MB over 100 files",0.228000000000002,0.0359999999999996,1.50299999999999,NA
elastic-san-same-zone,2,"Write CSV, 100MB over 1000 files",0.683999999999999,0.0760000000000001,0.768000000000001,NA
elastic-san-same-zone,2,"Read CSV, 100MB over 1000 files",0.604999999999999,0.115,7.06899999999999,NA
elastic-san-same-zone,2,"Write CSV, 100MB over 10000 files",1.614,0.255,1.892,NA
elastic-san-same-zone,2,"Read CSV, 100MB over 10000 files",4.1,0.712,32.521,NA
elastic-san-same-zone,2,"DD write, 10MB over 1000 files",0.00100000000000122,0.00600000000000023,2.23500000000001,2
elastic-san-same-zone,2,"DD write, 10MB over 1000 files",1.755,2.521,2.94200000000001,4
elastic-san-same-zone,2,"DD write, 10MB over 1000 files",4.513,6.39700000000001,5.38200000000001,8
elastic-san-same-zone,2,"DD write, 10MB over 1000 files",13.602,19.657,10.996,16
elastic-san-same-zone,2,"DD read, 10MB over 1000 files",0.000999999999997669,0.00600000000000023,4.77700000000004,2
elastic-san-same-zone,2,"DD read, 10MB over 1000 files",2.652,3.375,4.58800000000002,4
elastic-san-same-zone,2,"DD read, 10MB over 1000 files",6.22700000000001,9.479,4.89800000000002,8
elastic-san-same-zone,2,"DD read, 10MB over 1000 files",13.739,21.538,6.71199999999999,16
elastic-san-same-zone,2,"FST random reads, 100MB over 10*10MB reads",1.275,0.113,0.369999999999948,NA
elastic-san-same-zone,2,"FST random reads, 100MB over 100*1MB reads",5.334,0.131,1.09699999999998,NA
elastic-san-same-zone,2,"FST random reads, 100MB over 1000*100KB reads",2.169,0.109,1.928,NA
elastic-san-same-zone,2,"FST random reads, 100MB over 10000*10KB reads",0.373000000000005,0.228,5.65800000000002,NA
elastic-san-same-zone,2,Read 14 days of CRAN logs with fread,60.616,2.477,33.234,NA
elastic-san-same-zone,2,Sample 5000 rows from each of 14 CRAN logs with vroom,23.576,4.44899999999998,16.092,NA
elastic-san-same-zone,3,task,user,system,elapsed,parallelism
elastic-san-same-zone,3,Install MASS,6.629,3.23,6.628,NA
elastic-san-same-zone,3,Install lattice,8.385,3.18,8.344,NA
elastic-san-same-zone,3,Install BH,9.286,4.157,11.623,NA
elastic-san-same-zone,3,"Write CSV, 10KB",0.00099999999999989,0,0.0110000000000028,NA
elastic-san-same-zone,3,"Write CSV, 1MB",0.00600000000000023,0.001,0.00900000000000034,NA
elastic-san-same-zone,3,"Write CSV, 100MB",0.537,0.051,0.149999999999999,NA
elastic-san-same-zone,3,"Write CSV, 1GB",5.277,0.512,1.452,NA
elastic-san-same-zone,3,"Read CSV, 10KB",0.00199999999999889,0,0.00500000000000256,NA
elastic-san-same-zone,3,"Read CSV, 1MB",0.000999999999999446,0.00099999999999989,0.0159999999999982,NA
elastic-san-same-zone,3,"Read CSV, 100MB",0.275,0.0329999999999999,0.643999999999998,NA
elastic-san-same-zone,3,"Read CSV, 1GB",2.516,0.389,4.255,NA
elastic-san-same-zone,3,"DD write, 1GB",0.00300000000000011,0.847000000000001,7.865,2
elastic-san-same-zone,3,"DD write, 1GB",0.00700000000000145,1.707,14.495,4
elastic-san-same-zone,3,"DD write, 1GB",0.0200000000000031,5.479,29.334,8
elastic-san-same-zone,3,"DD write, 1GB",0.0739999999999998,15.151,60.191,16
elastic-san-same-zone,3,"DD read, 1GB",0.006000000000002,0.335000000000001,2.286,2
elastic-san-same-zone,3,"DD read, 1GB",0.00300000000000011,1.3,7.089,4
elastic-san-same-zone,3,"DD read, 1GB",0.0119999999999987,3.16600000000001,25.284,8
elastic-san-same-zone,3,"DD read, 1GB",0.0409999999999968,7.021,32.112,16
elastic-san-same-zone,3,"Write CSV, 100MB over 10 files",0.845999999999998,0.107,0.27600000000001,NA
elastic-san-same-zone,3,"Read CSV, 100MB over 10 files",0.417999999999999,0.0259999999999998,0.527999999999992,NA
elastic-san-same-zone,3,"Write CSV, 100MB over 100 files",0.648,0.0600000000000001,0.70999999999998,NA
elastic-san-same-zone,3,"Read CSV, 100MB over 100 files",0.245999999999999,0.0260000000000002,1.476,NA
elastic-san-same-zone,3,"Write CSV, 100MB over 1000 files",0.688000000000001,0.0710000000000002,0.766999999999996,NA
elastic-san-same-zone,3,"Read CSV, 100MB over 1000 files",0.595999999999998,0.122,12.093,NA
elastic-san-same-zone,3,"Write CSV, 100MB over 10000 files",1.62,0.25,1.893,NA
