filesystem,cloud,test-name,extended-acl-support,linkbased-file-locks
gfs-zonal-ssd,GCP,acl-and-lock-testing,0,1
gfs-basic-ssd,GCP,acl-and-lock-testing,1,1
gfs-regional-ssd,GCP,acl-and-lock-testing,0,1
gfs-ent-ssd,GCP,acl-and-lock-testing,0,1
