filesystem,cloud,test-name,elapsed
local-storage-ssd-persistent-disk,GCP,"DD write, 10MB over 1000 files, 16 Parallel Ops",12.899
local-storage-ssd-persistent-disk,GCP,"DD read, 10MB over 1000 files, 2 Parallel Ops",2.618
local-storage-ssd-persistent-disk,GCP,"DD read, 10MB over 1000 files, 4 Parallel Ops",2.717
local-storage-ssd-persistent-disk,GCP,"DD read, 10MB over 1000 files, 8 Parallel Ops",3.014
local-storage-ssd-persistent-disk,GCP,"DD read, 10MB over 1000 files, 16 Parallel Ops",4.212
local-storage-ssd-persistent-disk,GCP,"FST random reads, 100MB over 10*10MB reads",0.242
local-storage-ssd-persistent-disk,GCP,"FST random reads, 100MB over 100*1MB reads",0.283
local-storage-ssd-persistent-disk,GCP,"FST random reads, 100MB over 1000*100KB reads",0.361
local-storage-ssd-persistent-disk,GCP,"FST random reads, 100MB over 10000*10KB reads",1.117
local-storage-ssd-persistent-disk,GCP,Read 14 days of CRAN logs with fread,37.531
local-storage-ssd-persistent-disk,GCP,Sample 5000 rows from each of 14 CRAN logs with vroom,17.417
gfs-basic-ssd,GCP,Install MASS,14.141
gfs-basic-ssd,GCP,Install lattice,14.164
gfs-basic-ssd,GCP,Install BH,107.739
gfs-basic-ssd,GCP,"Write CSV, 10KB",0.009
gfs-basic-ssd,GCP,"Write CSV, 1MB",0.022
gfs-basic-ssd,GCP,"Write CSV, 100MB",0.29
gfs-basic-ssd,GCP,"Write CSV, 1GB",2.58
gfs-basic-ssd,GCP,"Read CSV, 10KB",0.008
gfs-basic-ssd,GCP,"Read CSV, 1MB",0.011
gfs-basic-ssd,GCP,"Read CSV, 100MB",0.13
gfs-basic-ssd,GCP,"Read CSV, 1GB",0.971
gfs-basic-ssd,GCP,"DD write, 1GB, 2 Parallel Ops",10.94
gfs-basic-ssd,GCP,"DD write, 1GB, 4 Parallel Ops",13.467
gfs-basic-ssd,GCP,"DD write, 1GB, 8 Parallel Ops",13.343
gfs-basic-ssd,GCP,"DD write, 1GB, 16 Parallel Ops",27.481
gfs-basic-ssd,GCP,"DD read, 1GB, 2 Parallel Ops",1.578
gfs-basic-ssd,GCP,"DD read, 1GB, 4 Parallel Ops",2.946
gfs-basic-ssd,GCP,"DD read, 1GB, 8 Parallel Ops",6.067
gfs-basic-ssd,GCP,"DD read, 1GB, 16 Parallel Ops",12.204
gfs-basic-ssd,GCP,"Write CSV, 100MB over 10 files",0.643
gfs-basic-ssd,GCP,"Read CSV, 100MB over 10 files",0.419
gfs-basic-ssd,GCP,"Write CSV, 100MB over 100 files",2.241
gfs-basic-ssd,GCP,"Read CSV, 100MB over 100 files",0.656
gfs-basic-ssd,GCP,"Write CSV, 100MB over 1000 files",6.294
gfs-basic-ssd,GCP,"Read CSV, 100MB over 1000 files",2.192
gfs-basic-ssd,GCP,"Write CSV, 100MB over 10000 files",41.853
gfs-basic-ssd,GCP,"Read CSV, 100MB over 10000 files",14.179
gfs-basic-ssd,GCP,"DD write, 10MB over 1000 files, 2 Parallel Ops",6.123
gfs-basic-ssd,GCP,"DD write, 10MB over 1000 files, 4 Parallel Ops",7.833
gfs-basic-ssd,GCP,"DD write, 10MB over 1000 files, 8 Parallel Ops",11.776
gfs-basic-ssd,GCP,"DD write, 10MB over 1000 files, 16 Parallel Ops",23.831
gfs-basic-ssd,GCP,"DD read, 10MB over 1000 files, 2 Parallel Ops",2.975
gfs-basic-ssd,GCP,"DD read, 10MB over 1000 files, 4 Parallel Ops",3.175
gfs-basic-ssd,GCP,"DD read, 10MB over 1000 files, 8 Parallel Ops",3.54
gfs-basic-ssd,GCP,"DD read, 10MB over 1000 files, 16 Parallel Ops",4.923
gfs-basic-ssd,GCP,"FST random reads, 100MB over 10*10MB reads",0.294
gfs-basic-ssd,GCP,"FST random reads, 100MB over 100*1MB reads",1.241
gfs-basic-ssd,GCP,"FST random reads, 100MB over 1000*100KB reads",0.787
gfs-basic-ssd,GCP,"FST random reads, 100MB over 10000*10KB reads",3.378
gfs-basic-ssd,GCP,Read 14 days of CRAN logs with fread,37.436
gfs-basic-ssd,GCP,Sample 5000 rows from each of 14 CRAN logs with vroom,17.504
gfs-zonal-ssd,GCP,Install MASS,16.39
gfs-zonal-ssd,GCP,Install lattice,16.032
gfs-zonal-ssd,GCP,Install BH,148.96
gfs-zonal-ssd,GCP,"Write CSV, 10KB",0.016
gfs-zonal-ssd,GCP,"Write CSV, 1MB",0.028
gfs-zonal-ssd,GCP,"Write CSV, 100MB",0.987
